
0, 10	46,0	Gen_ReverbSend
1, 15	db,e0	Gen_ModLFODelay
2, 17	db,e0	Gen_VibLFODelay
3, 24	3c,1	Gen_VolEnvDecay
4, 26	3c,1	Gen_VolEnvRelease
5, 2b	0,40	Gen_KeyRange
6, 2c	79,7f	Gen_VelRange
7, 22	db,e0	Gen_VolEnvAttack
8, 30	5a,0	Gen_Attenuation
9, 29	77,0	Gen_Instrument
10, 2b	0,40	Gen_KeyRange
11, 2c	72,78	Gen_VelRange
12,  8	97,fd	Gen_FilterFc
13, 22	db,e0	Gen_VolEnvAttack
14, 30	50,0	Gen_Attenuation
15, 29	77,0	Gen_Instrument
16, 2b	0,40	Gen_KeyRange
17, 2c	6b,71	Gen_VelRange
18,  8	50,fb	Gen_FilterFc
19, 22	db,e0	Gen_VolEnvAttack
20, 30	46,0	Gen_Attenuation
21, 29	77,0	Gen_Instrument
22, 2b	0,40	Gen_KeyRange
23, 2c	64,6a	Gen_VelRange
24,  8	ce,f9	Gen_FilterFc
25, 22	db,e0	Gen_VolEnvAttack
26, 30	3c,0	Gen_Attenuation
27, 29	77,0	Gen_Instrument
28, 2b	0,40	Gen_KeyRange
29, 2c	5d,63	Gen_VelRange
30,  8	dc,f7	Gen_FilterFc
31, 22	db,e0	Gen_VolEnvAttack
32, 30	32,0	Gen_Attenuation
33, 29	77,0	Gen_Instrument
34, 2b	0,40	Gen_KeyRange
35, 2c	56,5c	Gen_VelRange
36,  8	a0,f6	Gen_FilterFc
37, 22	db,e0	Gen_VolEnvAttack
38, 30	28,0	Gen_Attenuation
39, 29	77,0	Gen_Instrument
40, 2b	0,40	Gen_KeyRange
41, 2c	4f,55	Gen_VelRange
42,  8	1e,f5	Gen_FilterFc
43, 22	db,e0	Gen_VolEnvAttack
44, 30	1e,0	Gen_Attenuation
45, 29	77,0	Gen_Instrument
46, 2b	0,40	Gen_KeyRange
47, 2c	48,4e	Gen_VelRange
48,  8	2c,f3	Gen_FilterFc
49, 22	db,e0	Gen_VolEnvAttack
50, 30	14,0	Gen_Attenuation
51, 29	77,0	Gen_Instrument
52, 2b	0,40	Gen_KeyRange
53, 2c	41,47	Gen_VelRange
54,  8	6e,f0	Gen_FilterFc
55, 22	db,e0	Gen_VolEnvAttack
56, 30	a,0	Gen_Attenuation
57, 29	77,0	Gen_Instrument
58, 2b	0,40	Gen_KeyRange
59, 2c	0,40	Gen_VelRange
60,  8	ce,f9	Gen_FilterFc
61, 29	77,0	Gen_Instrument
62, 2b	41,7f	Gen_KeyRange
63, 2c	79,7f	Gen_VelRange
64,  8	50,fb	Gen_FilterFc
65, 22	db,e0	Gen_VolEnvAttack
66, 30	5a,0	Gen_Attenuation
67, 29	77,0	Gen_Instrument
68, 2b	41,7f	Gen_KeyRange
69, 2c	72,78	Gen_VelRange
70,  8	9a,fa	Gen_FilterFc
71, 22	db,e0	Gen_VolEnvAttack
72, 30	50,0	Gen_Attenuation
73, 29	77,0	Gen_Instrument
74, 2b	41,7f	Gen_KeyRange
75, 2c	6b,71	Gen_VelRange
76,  8	ce,f9	Gen_FilterFc
77, 22	db,e0	Gen_VolEnvAttack
78, 30	46,0	Gen_Attenuation
79, 29	77,0	Gen_Instrument
80, 2b	41,7f	Gen_KeyRange
81, 2c	64,6a	Gen_VelRange
82,  8	e7,f8	Gen_FilterFc
83, 22	db,e0	Gen_VolEnvAttack
84, 30	3c,0	Gen_Attenuation
85, 29	77,0	Gen_Instrument
86, 2b	41,7f	Gen_KeyRange
87, 2c	5d,63	Gen_VelRange
88,  8	dc,f7	Gen_FilterFc
89, 22	db,e0	Gen_VolEnvAttack
90, 30	32,0	Gen_Attenuation
91, 29	77,0	Gen_Instrument
92, 2b	41,7f	Gen_KeyRange
93, 2c	56,5c	Gen_VelRange
94,  8	a0,f6	Gen_FilterFc
