 phase int32_tcfbe1268  , wave index 3323 diff: 37, cycles: 4394
 phase int32_td216d18c  , wave index 3361 diff: 38, cycles: 4394
 phase int32_td46f90b0  , wave index 3398 diff: 37, cycles: 4394
 phase int32_td6c84fd4  , wave index 3436 diff: 38, cycles: 4394
 phase int32_td9210ef8  , wave index 3474 diff: 38, cycles: 4394
 phase int32_tdb79ce1c  , wave index 3511 diff: 37, cycles: 4394
 phase int32_tddd28d40  , wave index 3549 diff: 38, cycles: 4394
 phase int32_te02b4c64  , wave index 3586 diff: 37, cycles: 4394
 phase int32_te2840b88  , wave index 3624 diff: 38, cycles: 4394
 phase int32_te4dccaac  , wave index 3661 diff: 37, cycles: 4394
 phase int32_te73589d0  , wave index 3699 diff: 38, cycles: 4394
 phase int32_te98e48f4  , wave index 3736 diff: 37, cycles: 4394
 phase int32_tebe70818  , wave index 3774 diff: 38, cycles: 4394
 phase int32_tee3fc73c  , wave index 3811 diff: 37, cycles: 4394
 phase int32_tf0988660  , wave index 3849 diff: 38, cycles: 4394
 phase int32_tf2f14584  , wave index 3887 diff: 38, cycles: 4394
 phase int32_tf54a04a8  , wave index 3924 diff: 37, cycles: 4394
 phase int32_tf7a2c3cc  , wave index 3962 diff: 38, cycles: 4394
 phase int32_tf9fb82f0  , wave index 3999 diff: 37, cycles: 4394
 phase int32_tfc544214  , wave index 4037 diff: 38, cycles: 4394
 phase int32_tfead0138  , wave index 4074 diff: 37, cycles: 4394
 phase int32_t105c05c   , wave index 16 diff: -4058, cycles: 4395
 phase int32_t35e7f80   , wave index 53 diff: 37, cycles: 4395
 phase int32_t5b73ea4   , wave index 91 diff: 38, cycles: 4395
 phase int32_t80ffdc8   , wave index 128 diff: 37, cycles: 4395
 phase int32_ta68bcec   , wave index 166 diff: 38, cycles: 4395
 phase int32_tcc17c10   , wave index 204 diff: 38, cycles: 4395
 phase int32_tf1a3b34   , wave index 241 diff: 37, cycles: 4395
 phase int32_t1172fa58  , wave index 279 diff: 38, cycles: 4395
 phase int32_t13cbb97c  , wave index 316 diff: 37, cycles: 4395
 phase int32_t162478a0  , wave index 354 diff: 38, cycles: 4395
 phase int32_t187d37c4  , wave index 391 diff: 37, cycles: 4395
 phase int32_t1ad5f6e8  , wave index 429 diff: 38, cycles: 4395
 phase int32_t1d2eb60c  , wave index 466 diff: 37, cycles: 4395
 phase int32_t1f877530  , wave index 504 diff: 38, cycles: 4395
 phase int32_t21e03454  , wave index 542 diff: 38, cycles: 4395
 phase int32_t2438f378  , wave index 579 diff: 37, cycles: 4395
 phase int32_t2691b29c  , wave index 617 diff: 38, cycles: 4395
 phase int32_t28ea71c0  , wave index 654 diff: 37, cycles: 4395
 phase int32_t2b4330e4  , wave index 692 diff: 38, cycles: 4395
 phase int32_t2d9bf008  , wave index 729 diff: 37, cycles: 4395
 phase int32_t2ff4af2c  , wave index 767 diff: 38, cycles: 4395
 phase int32_t324d6e50  , wave index 804 diff: 37, cycles: 4395
 phase int32_t34a62d74  , wave index 842 diff: 38, cycles: 4395
 phase int32_t36feec98  , wave index 879 diff: 37, cycles: 4395
 phase int32_t3957abbc  , wave index 917 diff: 38, cycles: 4395
 phase int32_t3bb06ae0  , wave index 955 diff: 38, cycles: 4395
